lon,lat,co,nh3,no2,bc,pm25,pm10,so2,oc,voc
122.9269649,23.34958479,0,0,0,0,0,0,0,0,0
123.2712408,23.2887546,0,0,0,0,0,0,0,0,0
123.615087,23.22690566,0,0,0,0,0,0,0,0,0
123.9584971,23.16404048,0,0,0,0,0,0,0,0,0
124.3014647,23.10016158,0,0,0,0,0,0,0,0,0
124.6439836,23.03527156,0,0,0,0,0,0,0,0,0
124.9860475,22.96937303,0,0,0,0,0,0,0,0,0
125.3276504,22.90246866,0,0,0,0,0,0,0,0,0
125.6687861,22.83456114,0,0,0,0,0,0,0,0,0
126.0094485,22.76565322,0,0,0,0,0,0,0,0,0
126.3496316,22.69574768,0,0,0,0,0,0,0,0,0
126.6893296,22.62484733,0,0,0,0,0,0,0,0,0
127.0285365,22.55295504,0,0,0,0,0,0,0,0,0
127.3672465,22.48007371,0,0,0,0,0,0,0,0,0
127.7054539,22.40620627,0,0,0,0,0,0,0,0,0
128.0431529,22.33135571,0,0,0,0,0,0,0,0,0
77.87560659,22.6454016,0,0,0,0,0,0,0,0,0
78.21432006,22.72055678,0,0,0,0,0,0,0,0,0
78.55354669,22.79472476,0,0,0,0,0,0,0,0,0
78.89328072,22.86790254,0,0,0,0,0,0,0,0,0
79.23351634,22.94008718,0,0,0,0,0,0,0,0,0
79.57424769,23.01127577,0,0,0,0,0,0,0,0,0
79.91546883,23.08146544,0,0,0,0,0,0,0,0,0
80.25717377,23.15065337,0,0,0,0,0,0,0,0,0
80.59935647,23.21883676,0,0,0,0,0,0,0,0,0
80.94201083,23.28601286,0,0,0,0,0,0,0,0,0
81.28513069,23.35217897,0,0,0,0,0,0,0,0,0
81.62870985,23.41733242,0,0,0,0,0,0,0,0,0
81.97274203,23.48147057,0,0,0,0,0,0,0,0,0
82.31722091,23.54459085,0,0,0,0,0,0,0,0,0
82.66214012,23.60669069,0,0,0,0,0,0,0,0,0
83.00749324,23.6677676,0,0,0,0,0,0,0,0,0
83.35327377,23.72781911,0,0,0,0,0,0,0,0,0
83.69947519,23.78684279,0,0,0,0,0,0,0,0,0
84.0460909,23.84483626,0,0,0,0,0,0,0,0,0
84.39311428,23.90179718,0,0,0,0,0,0,0,0,0
84.74053864,23.95772324,0,0,0,0,0,0,0,0,0
85.08835723,24.01261219,0,0,0,0,0,0,0,0,0
85.43656328,24.06646181,0,0,0,0,0,0,0,0,0
85.78514996,24.11926992,0,0,0,0,0,0,0,0,0
86.13411037,24.17103438,0,0,0,0,0,0,0,0,0
86.4834376,24.22175311,0,0,0,0,0,0,0,0,0
86.83312466,24.27142405,0,0,0,0,0,0,0,0,0
87.18316454,24.3200452,0,0,0,0,0,0,0,0,0
87.53355017,24.36761458,0,0,0,0,0,0,0,0,0
87.88427444,24.41413028,0,0,0,0,0,0,0,0,0
88.23533021,24.45959041,0,0,0,0,0,0,0,0,0
88.58671027,24.50399313,0,0,0,0,0,0,0,0,0
88.93840739,24.54733666,0,0,0,0,0,0,0,0,0
89.29041429,24.58961922,0,0,0,0,0,0,0,0,0
89.64272366,24.63083911,0,0,0,0,0,0,0,0,0
89.99532815,24.67099467,0,0,0,0,0,0,0,0,0
90.34822034,24.71008427,0,0,0,0,0,0,0,0,0
90.70139282,24.74810633,0,0,0,0,0,0,0,0,0
91.05483812,24.7850593,0,0,0,0,0,0,0,0,0
91.40854873,24.82094169,0,0,0,0,0,0,0,0,0
91.76251711,24.85575206,0,0,0,0,0,0,0,0,0
92.11673569,24.88948898,0,0,0,0,0,0,0,0,0
92.47119686,24.92215109,0,0,0,0,0,0,0,0,0
92.82589299,24.95373708,0,0,0,0,0,0,0,0,0
93.18081641,24.98424566,0,0,0,0,0,0,0,0,0
93.53595942,25.0136756,0,0,0,0,0,0,0,0,0
93.89131429,25.0420257,0,0,0,0,0,0,0,0,0
94.24687327,25.06929481,0,0,0,0,0,0,0,0,0
94.60262857,25.09548184,0,0,0,0,0,0,0,0,0
94.95857238,25.12058572,0,0,0,0,0,0,0,0,0
95.31469687,25.14460543,0,0,0,0,0,0,0,0,0
95.67099418,25.16754001,0,0,0,0,0,0,0,0,0
96.02745643,25.18938852,0,0,0,0,0,0,0,0,0
96.38407571,25.21015007,0,0,0,0,0,0,0,0,0
96.7408441,25.22982383,0,0,0,0,0,0,0,0,0
97.09775366,25.248409,0,0,0,0,0,0,0,0,0
97.45479641,25.26590483,0.034865616,0,0.000932826,0.000401372,0.001387541,0.001981726,0.001005334,0.000399016,0.009840174
97.81196439,25.2823106,4.378114143,7.35E-06,0.11723671,0.050395287,0.174255984,0.248872006,0.126367686,0.050098954,1.440093161
98.16924958,25.29762566,68.72525153,0.459909304,8.146703485,0.456545811,4.067476979,5.465338161,9.909391002,0.412169909,33.48434325
98.52664397,25.31184937,270.3645753,2.396648894,40.09675973,1.368696654,17.70226462,23.49086506,49.10408232,1.143376468,136.9271046
98.88413954,25.32498118,197.7249419,1.228748735,34.1752194,0.929221115,13.78708515,20.41244305,32.26787868,0.825190313,77.39711919
99.24172824,25.33702054,552.8108529,2.439978725,134.9109083,1.844563367,43.27395288,69.63689473,90.62485837,1.689188759,169.9042694
99.59940202,25.34796696,147.8850248,0.703867087,36.37198551,0.54383596,11.25537807,17.77633278,24.07057788,0.494705405,49.08901145
99.9571528,25.35782,65.8867829,0.444538832,7.860541028,0.435021026,3.910763834,5.252954196,9.564480045,0.392163054,29.7799173
100.3149725,25.36657927,276.1877383,2.244720966,38.16254061,1.546049529,17.49830106,23.31321523,46.66151439,1.333449098,130.3857001
100.6728531,25.37424441,1590.30744,3.213163933,62.01584874,2.427241557,31.62135217,46.42641473,136.9362942,2.141949711,192.9819724
101.0307864,25.3808151,104.8965877,0.67408523,12.05446264,0.717065882,6.128889961,8.24919534,14.6480213,0.651738941,41.93608569
101.3887643,25.38629109,314.2762474,2.414609317,41.54431159,1.861044588,19.50657131,26.05321151,50.69727494,1.631201031,133.8464952
101.7467788,25.39067214,532.3415378,4.728280586,79.29431644,2.688030857,34.9066276,46.31010293,96.95566545,2.243569473,243.6434876
102.1048217,25.39395809,212.0175877,1.448252293,33.2320552,1.09518052,14.14707846,20.18142328,34.52008797,0.965714575,81.49978203
102.4628849,25.39614879,2690.610621,20.79134984,427.8490678,13.40550781,180.4510831,250.8412422,467.0378247,11.51092457,1071.019954
102.8209603,25.39724417,2163.467925,17.16942595,333.1412606,11.30269598,141.909025,193.6097691,373.0543666,9.710700218,877.5141597
103.1790397,25.39724417,698.1913512,4.835233829,138.3080116,3.870340745,132.6552518,225.2509596,116.6271887,3.745734623,270.1588055
103.5371151,25.39614879,311.2109102,2.375468964,40.80338881,1.854233075,19.25889062,25.73380984,49.87522747,1.627982077,133.6471094
103.8951783,25.39395809,1225.870382,6.785373604,124.4666326,9.175281763,68.30502643,92.53882797,151.6405364,8.506253839,388.2221653
104.2532212,25.39067214,103.3902704,0.06793252,3.531973489,1.135845423,4.282357202,6.076872622,4.069784394,1.122984899,18.80412949
104.6112357,25.38629109,406.5126334,2.588506168,19.57131543,1.812554619,15.80162717,24.56745652,22.23053517,1.772127557,50.14898738
104.9692136,25.3808151,795.4187549,20.68406964,93.35039488,1.928774203,67.28294043,97.73434783,110.6074575,1.834056427,182.9314175
105.3271469,25.37424441,404.9038505,8.853760996,45.68159758,0.98657312,31.4703991,46.87402438,52.80398844,0.950487243,93.88150632
105.6850275,25.36657927,203.8700104,5.128766775,12.93419988,0.602521982,15.47529247,22.10614256,20.50370902,0.571595902,51.12024203
106.0428472,25.35782,117.9116778,0.807533193,19.97374988,0.185947569,10.60346186,18.49986247,20.83029492,0.205537842,25.26956073
106.400598,25.34796696,33.1197937,0.12748131,2.576442256,0.103334867,1.403633616,2.400801942,2.554150652,0.101923888,8.330121014
106.7582718,25.33702054,83.44579327,3.201014881,4.368060093,0.317479518,7.211554627,9.224502358,8.542260648,0.286384111,25.55605736
107.1158605,25.32498118,149.8614289,1.430889768,16.459862,0.702698287,11.71012012,15.30652517,15.89373577,0.646268533,85.84706428
107.473356,25.31184937,101.7047219,0.584917474,2.332595392,0.588850038,3.407699577,5.167630384,2.991820999,0.549426737,11.79343796
107.8307504,25.29762566,51.88534684,2.163821285,2.815431897,0.216859666,5.62463231,7.634085976,5.631585261,0.197290549,16.48769603
108.1880356,25.2823106,38.60987022,0,0.762372582,0.194289681,0.854933157,1.472557983,0.744107471,0.18463672,9.764732183
108.5452036,25.26590483,24.7482681,0,0.436704218,0.153143165,0.600392192,0.998992117,0.406489238,0.143334294,5.996003665
108.9022463,25.248409,65.54477976,0.015022665,1.824840087,0.408573561,1.945626339,3.053200248,1.634143095,0.381294101,15.35691794
109.2591559,25.22982383,296.323393,1.001533606,51.33632571,1.203830566,29.37826666,37.53247862,44.10544543,1.104520343,284.5819131
109.6159243,25.21015007,166.7644838,0.395630018,21.13441875,0.793545472,12.82980423,16.85252135,18.21215464,0.733296291,114.1904607
109.9725436,25.18938852,706.1830402,1.704329257,90.84579276,3.340334068,54.9694955,72.10189879,78.26725991,3.085952509,471.8057986
110.3290058,25.16754001,1228.832948,1.546448513,91.28650583,6.792901542,64.22762929,89.25119057,79.74807187,6.313430255,462.8845266
