FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
0,0.5,0.5,0.01671971,2.3001145e-05,0.04198381,0.0035053603,0.004529315,0.56432897,24.030998,7.0948015e-05,0.30452687,3.2837047e-06,5.8502714e-13,0.046764158,0.08373012,1.0362822,0.023491489,0.017238747,0.0938461,2.6619694
1,1.5,0.5,0.017449211,2.792518e-05,0.04397899,0.002757482,0.0044827503,0.57873267,25.019745,7.163487e-05,0.29786947,3.3361948e-06,6.0966477e-13,0.046119448,0.085555896,1.0528098,0.02450301,0.017510006,0.09508168,2.7191136
2,2.5,0.5,0.01954511,4.3288066e-05,0.049548566,0.00034598014,0.0046418896,0.6205963,27.351883,7.979362e-05,0.28493947,3.2141481e-06,5.695179e-13,0.042856753,0.0941979,1.0685796,0.025811667,0.020094974,0.09693251,2.7843897
3,3.5,0.5,0.019744594,3.809256e-05,0.04621566,0.0002673037,0.0042227823,0.62744147,27.020664,7.815791e-05,0.28256327,3.031029e-06,5.5422247e-13,0.040262315,0.097137794,1.04493,0.0262129,0.024650812,0.09814554,2.7503765
4,4.5,0.5,0.020163218,3.4976914e-05,0.042973362,0.00025163105,0.003920692,0.6475286,26.799099,7.7381446e-05,0.27957967,2.7407846e-06,5.112771e-13,0.03714976,0.09895109,1.0243286,0.02651942,0.029889265,0.099701434,2.725648
5,5.5,0.5,0.021152351,3.0416279e-05,0.039029438,0.00023079885,0.0035400582,0.69470793,26.529013,7.60023e-05,0.29136148,2.433787e-06,4.955671e-13,0.035292026,0.1066073,0.9990722,0.027492497,0.03461263,0.10140354,2.6883612
6,6.5,0.5,0.022340981,2.5385138e-05,0.03469064,0.00021179795,0.003191704,0.7564961,26.407118,7.4584874e-05,0.30243355,2.023143e-06,4.5435766e-13,0.034035876,0.11289876,0.97838396,0.028737826,0.03997153,0.1033843,2.6725628
7,7.5,0.5,0.023191566,2.1930691e-05,0.031175066,0.00019214085,0.0029176758,0.7852342,26.28358,7.3211035e-05,0.303259,1.715961e-06,3.955214e-13,0.031704728,0.11555074,0.9596218,0.029992782,0.04475527,0.10485847,2.6573524
8,8.5,0.5,0.024038028,1.9834482e-05,0.028733164,0.00017705493,0.0027314324,0.80268764,26.280535,7.256961e-05,0.30214524,1.5000865e-06,3.4507477e-13,0.029937813,0.11739264,0.94616014,0.03063137,0.04811611,0.10583117,2.645581
9,9.5,0.5,0.025146278,1.8722923e-05,0.026917389,0.00016639984,0.0025998212,0.81198704,26.29471,7.193527e-05,0.30074292,1.3529176e-06,3.0445823e-13,0.028555337,0.11954632,0.9344356,0.031247472,0.050846882,0.10656136,2.6362379
10,10.5,0.5,0.02631361,1.7975524e-05,0.025573315,0.00015879606,0.0025120978,0.81746036,26.35563,7.126891e-05,0.2989648,1.2466523e-06,2.7237912e-13,0.027568322,0.120760344,0.92489135,0.03173477,0.053112384,0.10722248,2.6302774
11,11.5,0.5,0.027593046,1.7257551e-05,0.024511615,0.00015366865,0.0024592767,0.82151306,26.427736,7.064129e-05,0.29765633,1.1671607e-06,2.5026666e-13,0.026708743,0.12183716,0.91655606,0.032135125,0.055048894,0.10785509,2.6230788
12,12.5,0.5,0.02872342,1.6869806e-05,0.023802388,0.0001506246,0.0024201155,0.82386756,26.47586,7.027267e-05,0.29590353,1.1188507e-06,2.3662794e-13,0.025902454,0.12220129,0.91032153,0.03231684,0.05686069,0.10858611,2.6166937
13,13.5,0.5,0.029742517,1.6162687e-05,0.022974562,0.00014633939,0.0023610126,0.82853097,26.498055,6.989462e-05,0.29406583,1.0715482e-06,2.2473702e-13,0.025066612,0.12280919,0.9046251,0.032507554,0.058530167,0.10924563,2.6089337
14,14.5,0.5,0.030551385,1.543413e-05,0.022163536,0.0001424395,0.0023136996,0.83528626,26.521086,6.948111e-05,0.29336485,1.0203286e-06,2.1126388e-13,0.024565328,0.12380236,0.9017896,0.032820027,0.05990116,0.10988953,2.608593
15,15.5,0.5,0.03139099,1.4867525e-05,0.021430613,0.00013898469,0.0022766923,0.8430124,26.572472,6.922102e-05,0.29330608,9.702612e-07,1.9494612e-13,0.024184197,0.1254069,0.9001672,0.03319214,0.060917255,0.11045877,2.610568
16,16.5,0.5,0.032143526,1.4420627e-05,0.020515947,0.00013413352,0.0022338657,0.85140693,26.623606,6.892359e-05,0.29359448,8.9444234e-07,1.7161712e-13,0.023744613,0.12676367,0.89892775,0.03365525,0.061699506,0.110914096,2.6133645
17,17.5,0.5,0.03276644,1.3957708e-05,0.019596359,0.00012902712,0.0021909236,0.8575625,26.6291,6.856873e-05,0.29301003,8.273824e-07,1.5612445e-13,0.023313295,0.12794214,0.8974254,0.034159537,0.062309515,0.111235924,2.616149
18,18.5,0.5,0.033319436,1.3895882e-05,0.018824337,0.00012373662,0.002117159,0.8587913,26.60843,6.809576e-05,0.29135093,7.719211e-07,1.4157076e-13,0.022930708,0.12849739,0.8944793,0.034584988,0.06344674,0.111658216,2.6166432
19,19.5,0.5,0.033852644,1.4202941e-05,0.018441478,0.00011996312,0.0020415494,0.8516061,26.608545,6.755457e-05,0.2890214,7.4503237e-07,1.3363944e-13,0.022465158,0.12944256,0.89090127,0.034719985,0.064653315,0.11211651,2.6139348
20,20.5,0.5,0.034192145,1.425016e-05,0.018003006,0.00011586224,0.001980016,0.84469384,26.603624,6.7075256e-05,0.28627694,7.1364656e-07,1.2517616e-13,0.022025635,0.13073583,0.88707393,0.03477891,0.06532359,0.1124115,2.610723
21,21.5,0.5,0.034231756,1.41250475e-05,0.017108342,0.00010848146,0.0018851906,0.8385931,26.485422,6.604832e-05,0.28290194,6.463799e-07,1.10090736e-13,0.02124434,0.13278534,0.8828242,0.034994014,0.065999925,0.112604596,2.6076975
22,22.5,0.5,0.034239087,1.3378609e-05,0.01575837,9.721231e-05,0.0017371895,0.8330215,26.156988,6.433577e-05,0.27744567,5.598855e-07,9.532313e-14,0.01957591,0.13507988,0.8735446,0.03505365,0.067763805,0.113257416,2.5934849
23,23.5,0.5,0.03427844,1.2301757e-05,0.014361608,8.6841734e-05,0.0015874739,0.8209464,25.767965,6.2627696e-05,0.2695692,4.929069e-07,8.461515e-14,0.017767513,0.13535087,0.8630431,0.035144303,0.070298605,0.11388603,2.5764368
24,24.5,0.5,0.03420002,1.123391e-05,0.012967854,7.82256e-05,0.0014499725,0.80545765,25.363945,6.0547685e-05,0.2606925,4.3968555e-07,7.6012506e-14,0.01620082,0.13409545,0.8530531,0.035153843,0.072719105,0.11430086,2.5572531
25,25.5,0.5,0.03390635,1.0450253e-05,0.011948025,7.236797e-05,0.0013599512,0.79334927,25.042168,5.877551e-05,0.2543433,3.9756122e-07,7.045866e-14,0.015290696,0.13266195,0.8451267,0.035106443,0.07358846,0.114274934,2.53938
26,26.5,0.5,0.033430345,9.3797635e-06,0.010868724,6.575501e-05,0.001267019,0.78766346,24.766043,5.756969e-05,0.24971399,3.4823157e-07,6.3204826e-14,0.014448323,0.13137348,0.83701766,0.034887947,0.07396628,0.11421776,2.518909
27,27.5,0.5,0.03336098,8.5115025e-06,0.009899214,5.881624e-05,0.0011833016,0.7811341,24.525526,5.65039e-05,0.24546908,3.077982e-07,5.8813475e-14,0.013443401,0.13065746,0.82620966,0.034528263,0.07536639,0.114663705,2.4958634
28,28.5,0.5,0.033536803,8.06489e-06,0.009022483,5.218878e-05,0.0010992627,0.77323294,24.348724,5.5760025e-05,0.24164964,2.6420955e-07,5.7592027e-14,0.012415848,0.13037999,0.815857,0.034150187,0.07727953,0.11516789,2.474272
29,29.5,0.5,0.03387336,7.983551e-06,0.008194212,4.6445788e-05,0.0010066906,0.7694826,24.349218,5.5391927e-05,0.23869705,2.1354903e-07,4.7465653e-14,0.011504114,0.13029753,0.8090352,0.03409685,0.078646794,0.11558114,2.4619243
30,30.5,0.5,0.034304064,8.004609e-06,0.00746163,4.2435964e-05,0.0009359251,0.76522285,24.343208,5.516639e-05,0.23587477,1.595248e-07,3.658895e-14,0.0107617425,0.13020594,0.8028527,0.034191325,0.07969228,0.11605926,2.451502
31,31.5,0.5,0.034584682,8.131151e-06,0.0069040856,4.0049355e-05,0.0009122115,0.7587417,24.320108,5.5128745e-05,0.2325689,1.1460554e-07,2.8234561e-14,0.010135376,0.12997048,0.79635084,0.034246836,0.0804874,0.11637618,2.438592
32,32.5,0.5,0.034552015,8.458297e-06,0.0066300416,3.9186376e-05,0.00091377593,0.7472018,24.345894,5.523869e-05,0.22925125,9.02735e-08,2.2743102e-14,0.009841645,0.12894401,0.7911479,0.0341739,0.08060918,0.11645292,2.42692
33,33.5,0.5,0.033686586,8.906715e-06,0.0065789307,3.8989216e-05,0.0009184566,0.72780406,24.227573,5.5247663e-05,0.22476973,7.658747e-08,2.0535823e-14,0.009643253,0.12539305,0.7858788,0.033964064,0.08033306,0.11610006,2.4118376
34,34.5,0.5,0.03265996,9.239904e-06,0.0065283496,3.8546525e-05,0.0009192628,0.7123244,24.127783,5.5360488e-05,0.22093067,5.8928666e-08,1.5760481e-14,0.009451398,0.12286981,0.7818801,0.033687554,0.08008177,0.11580776,2.3986847
35,35.5,0.5,0.031715564,9.033009e-06,0.0064022318,3.770599e-05,0.0009145242,0.7013936,23.98553,5.536176e-05,0.21810134,4.270213e-08,1.18394394e-14,0.00921732,0.12105556,0.7774092,0.033359226,0.0798242,0.11552861,2.384446
36,36.5,0.5,0.030649079,8.150475e-06,0.0061313245,3.6025678e-05,0.0009002093,0.6933372,23.729809,5.524907e-05,0.21603121,2.9351794e-08,9.342431e-15,0.008937965,0.11973672,0.77115446,0.032888755,0.07968787,0.11514793,2.3641865
37,37.5,0.5,0.029352237,7.045981e-06,0.0057675326,3.264779e-05,0.00085918827,0.6844311,23.387901,5.4863947e-05,0.21384244,1.579876e-08,6.024131e-15,0.008633342,0.118367754,0.76335037,0.032238763,0.07934067,0.11466302,2.3380423
38,38.5,0.5,0.027902545,6.021189e-06,0.0054045827,2.8866638e-05,0.0007998357,0.6768142,23.05708,5.423872e-05,0.21223114,5.793391e-09,2.486238e-15,0.008414533,0.11732218,0.7566157,0.031548433,0.07895575,0.114454396,2.3135402
39,39.5,0.5,0.026667958,5.3044823e-06,0.005142432,2.6492045e-05,0.0007506856,0.67640996,22.782026,5.3617307e-05,0.21184862,8.458005e-10,3.9858787e-16,0.0084910905,0.117889225,0.75371116,0.031112228,0.078406386,0.11452838,2.2982414
40,40.5,0.5,0.026257513,5.1403995e-06,0.0052345884,2.6997646e-05,0.0007656666,0.68982506,22.744965,5.3507763e-05,0.21523635,2.748075e-10,7.7679334e-17,0.008947654,0.12156916,0.7585055,0.031143237,0.0781992,0.11576018,2.3061805
41,41.5,0.5,0.02608641,5.5085493e-06,0.005534532,2.8567727e-05,0.0008007823,0.70732784,22.964434,5.3804455e-05,0.21980885,3.0470843e-10,7.808933e-17,0.0095053855,0.12605368,0.7682192,0.031438828,0.07808324,0.11772554,2.3311067
42,42.5,0.5,0.025408901,6.3445045e-06,0.0058918847,2.9631785e-05,0.00080576906,0.72084504,23.148472,5.366467e-05,0.22407874,6.0348504e-10,8.0349545e-17,0.010096129,0.12910898,0.7762365,0.031330872,0.0775262,0.11938969,2.3468084
43,43.5,0.5,0.024838248,7.922045e-06,0.0063476376,3.0158615e-05,0.0007716904,0.7403063,23.283016,5.2939773e-05,0.22911936,1.2138401e-09,9.713602e-17,0.011052426,0.13022377,0.78658277,0.031196432,0.07665742,0.12069976,2.3604412
44,44.5,0.5,0.024161808,8.39802e-06,0.006380946,3.0918487e-05,0.0007382606,0.74291795,23.012035,5.1815525e-05,0.23222801,1.3309452e-09,1.01780776e-16,0.011542654,0.12998061,0.7893874,0.030870976,0.07554454,0.12120352,2.3552458
45,45.5,0.5,0.02393356,6.6640023e-06,0.005745108,3.240838e-05,0.00074179075,0.7336654,22.567558,5.073124e-05,0.23153526,3.9251585e-10,4.6933818e-17,0.011178478,0.12942101,0.7540061,0.029951774,0.07186281,0.115016066,2.2466388
46,46.5,0.5,0.015813235,2.9629934e-06,0.00573993,0.00027497447,0.0012992177,0.4601114,18.290054,4.7146383e-05,0.21485594,2.775202e-09,3.0896808e-15,0.011163869,0.09241407,0.72915596,0.027388854,0.06832826,0.10643623,2.1462436
47,47.5,0.5,0.015346759,1.7667096e-06,0.006511133,0.0005389261,0.0017306487,0.40837428,15.953475,4.3372183e-05,0.2067536,1.28642785e-08,1.2475357e-14,0.011087558,0.08432608,0.72042745,0.024044871,0.068768196,0.104074985,2.0866783
48,48.5,0.5,0.020488653,4.8752595e-06,0.0095296735,0.0005522663,0.0020413857,0.539075,17.71522,4.0420513e-05,0.24232835,5.1513254e-08,3.601074e-14,0.013296137,0.11587702,0.74697316,0.027540106,0.06665559,0.10845175,2.1948564
49,49.5,0.5,0.0217272,7.720419e-06,0.012023942,0.0010127596,0.002187995,0.57265246,18.393919,4.0256244e-05,0.2624765,1.6940523e-07,6.663449e-14,0.015600136,0.12756345,0.77351433,0.02944787,0.06434858,0.11018814,2.2755418
50,50.5,0.5,0.022258652,1.5357515e-05,0.014644796,0.0014358496,0.002339857,0.63245773,19.73181,4.1306757e-05,0.2884712,2.4907436e-07,7.341154e-14,0.019358372,0.13489287,0.8553086,0.033025946,0.0664522,0.11741824,2.515588
51,51.5,0.5,0.018175758,1.0011602e-05,0.014049358,0.0024030013,0.0024449236,0.52296704,18.654087,4.4911183e-05,0.26906514,3.837155e-07,8.426679e-14,0.02063508,0.111431554,0.833078,0.028349625,0.059609108,0.10650858,2.3880982
52,52.5,0.5,0.020759387,1.4104154e-05,0.01773641,0.001992053,0.0024547982,0.6131501,20.31231,4.5083147e-05,0.2927752,6.867935e-07,1.2220888e-13,0.025677444,0.13115989,0.85857046,0.030724388,0.05391431,0.103517964,2.4694452
53,53.5,0.5,0.019108128,1.1858771e-05,0.017957099,0.0019891155,0.002569482,0.5827298,19.747555,4.5510955e-05,0.28170985,7.701394e-07,1.3775546e-13,0.027341088,0.12944528,0.90334296,0.03121875,0.052022535,0.10597496,2.5827734
54,54.5,0.5,0.015005576,9.242697e-06,0.015305272,0.002143712,0.0028137767,0.46201003,18.471094,5.0154733e-05,0.2621109,5.056803e-07,8.924993e-14,0.025335627,0.101456776,0.8245714,0.0254494,0.048532635,0.095777646,2.2892432
55,55.5,0.5,0.015953245,1.3138548e-05,0.018501855,0.0025750112,0.0032086638,0.49588916,20.107574,5.1601593e-05,0.28931433,6.406321e-07,1.1527795e-13,0.029733783,0.10927439,0.8275004,0.026624141,0.041316476,0.09328317,2.3011808
56,56.5,0.5,0.016640028,2.3113409e-05,0.023232669,0.00259489,0.0039362614,0.52254236,21.56016,5.551815e-05,0.30578294,8.4929496e-07,1.6201412e-13,0.034321066,0.1188377,0.91099507,0.029912742,0.036241252,0.099986546,2.5369818
57,57.5,0.5,0.018535072,2.8291195e-05,0.029490257,0.0025091695,0.0046396255,0.57621145,23.784605,6.300643e-05,0.3185373,1.3211004e-06,2.4957624e-13,0.038604382,0.13629459,0.9330029,0.030534953,0.03116316,0.099818364,2.6106074
58,58.5,0.5,0.018886749,2.6509682e-05,0.036688156,0.0033527673,0.005176534,0.54470557,24.510498,6.48369e-05,0.31065992,2.2967483e-06,4.3395807e-13,0.04353422,0.1311499,1.0351881,0.031884965,0.022402601,0.10319818,2.889189
59,59.5,0.5,0.017547091,2.3211707e-05,0.036241513,0.0043962556,0.0051455377,0.4982407,23.673904,6.358215e-05,0.30327353,2.3019386e-06,4.2333078e-13,0.04441423,0.12049951,0.9753323,0.02999051,0.018874807,0.096111305,2.6945016
60,60.5,0.5,0.016620073,2.2148395e-05,0.03257664,0.004553761,0.004916899,0.49898952,22.907202,6.278013e-05,0.30561236,1.7502628e-06,3.3918132e-13,0.04190554,0.11497225,0.9853126,0.026597777,0.023481756,0.10004716,2.6845076
61,61.5,0.5,0.017723672,2.403637e-05,0.032978833,0.00459652,0.00476831,0.5415176,23.347147,6.42979e-05,0.3137219,1.6408251e-06,3.2870747e-13,0.042743005,0.12650864,1.0013825,0.027374335,0.025673853,0.10188861,2.7373228
62,62.5,0.5,0.017075973,2.3177041e-05,0.031956516,0.004520003,0.004475216,0.5369447,23.197086,6.132017e-05,0.31932175,1.4564672e-06,3.0598693e-13,0.04343972,0.12707594,1.0021621,0.028233472,0.026305972,0.1023093,2.7531407
63,63.5,0.5,0.018656174,3.8958857e-05,0.041006472,0.0028403702,0.004929862,0.57584465,25.257889,6.400429e-05,0.3434266,1.8627952e-06,3.1969563e-13,0.05188375,0.13832626,1.0561261,0.03130498,0.020060375,0.101653144,2.925084
64,64.5,0.5,0.021306803,4.3575837e-05,0.048042346,0.0022008012,0.005453729,0.65892386,26.692783,6.924846e-05,0.34831387,2.6211294e-06,3.8847774e-13,0.055218644,0.14006987,1.1414921,0.033787843,0.017015753,0.10859264,3.159664
65,65.5,0.5,0.018495364,2.766718e-05,0.04185693,0.0043283855,0.0054981587,0.55407166,24.909624,7.181573e-05,0.31564546,2.7931123e-06,4.195791e-13,0.04831862,0.116040275,1.0693883,0.029893208,0.017022094,0.10258822,2.9171216
66,66.5,0.5,0.018224748,3.0478892e-05,0.041890077,0.0037929942,0.005360204,0.5682876,25.170603,7.18391e-05,0.32330698,2.6934106e-06,4.1467396e-13,0.04880643,0.11076689,1.0762639,0.029960012,0.018749092,0.10613532,2.9306931
67,67.5,0.5,0.0199925,4.0952196e-05,0.044060435,0.0026512488,0.0052251876,0.6737778,25.997879,6.935709e-05,0.34853786,2.3111513e-06,3.687455e-13,0.052049816,0.122706816,1.0507355,0.030132003,0.019385085,0.10997094,2.8713052
