FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
0,0.5,0.5,0.016719524,2.300055e-05,0.041983742,0.0035053554,0.00452932,0.5643219,24.030838,7.094784e-05,0.30452523,3.2837072e-06,5.8502926e-13,0.046764236,0.083733745,1.036296,0.023491533,0.017244516,0.09385902,2.662017
1,1.5,0.5,0.017448928,2.7924929e-05,0.043978963,0.0027574808,0.0044827536,0.57872546,25.0196,7.163457e-05,0.29786822,3.336201e-06,6.09667e-13,0.046119593,0.08556473,1.0528257,0.02450317,0.017512891,0.09509305,2.7191556
2,2.5,0.5,0.0195447,4.328757e-05,0.04954859,0.0003459798,0.0046418873,0.6205872,27.35175,7.979335e-05,0.28493842,3.2141552e-06,5.6952126e-13,0.042856947,0.094205804,1.0686014,0.025811704,0.020102937,0.09694804,2.7844515
3,3.5,0.5,0.019743936,3.809207e-05,0.04621567,0.0002673033,0.0042227926,0.6274269,27.02038,7.8157624e-05,0.2825609,3.0310393e-06,5.542283e-13,0.040262695,0.09714738,1.0449575,0.026212944,0.024661116,0.09817099,2.7504654
4,4.5,0.5,0.020162104,3.4976452e-05,0.042973317,0.00025163015,0.003920705,0.6475094,26.798723,7.7380595e-05,0.27957612,2.7407948e-06,5.112836e-13,0.037150405,0.09896575,1.0243611,0.026519505,0.02990079,0.09973667,2.7257605
5,5.5,0.5,0.021150922,3.0415782e-05,0.039029356,0.0002307978,0.003540072,0.6946828,26.528492,7.600053e-05,0.29135597,2.433799e-06,4.955748e-13,0.03529299,0.10662397,0.9991114,0.027492492,0.034627855,0.101447605,2.6885028
6,6.5,0.5,0.022339124,2.5384661e-05,0.034690533,0.00021179674,0.0031917016,0.75646657,26.406483,7.458249e-05,0.30242693,2.0231514e-06,4.54364e-13,0.034037195,0.112918705,0.9784277,0.028737778,0.03998907,0.10343754,2.672731
7,7.5,0.5,0.02318918,2.193021e-05,0.0311749,0.0001921395,0.0029176725,0.7851982,26.282848,7.3207884e-05,0.30325055,1.7159699e-06,3.955277e-13,0.031706423,0.11557418,0.959671,0.029992742,0.04477503,0.10491838,2.6575413
8,8.5,0.5,0.024035316,1.9833968e-05,0.028732989,0.00017705357,0.0027314164,0.8026488,26.279707,7.256696e-05,0.30213648,1.5000955e-06,3.4508103e-13,0.029939841,0.11741911,0.9462122,0.030631324,0.048136964,0.1058965,2.645781
9,9.5,0.5,0.025142984,1.8722421e-05,0.026917187,0.00016639828,0.0025998058,0.81194544,26.293854,7.1932576e-05,0.3007338,1.3529249e-06,3.0446438e-13,0.02855759,0.119576275,0.93449146,0.031247403,0.050869122,0.10663039,2.6364532
10,10.5,0.5,0.026310138,1.7974993e-05,0.025573108,0.00015879444,0.0025120834,0.8174168,26.354712,7.126655e-05,0.29895532,1.2466595e-06,2.7238511e-13,0.027570788,0.12079402,0.92494947,0.03173471,0.053135794,0.10729409,2.6305017
11,11.5,0.5,0.02758917,1.7257002e-05,0.0245114,0.00015366696,0.0024592644,0.8214671,26.426785,7.063883e-05,0.2976467,1.1671672e-06,2.5027232e-13,0.026711453,0.12187373,0.9166174,0.032135062,0.055073567,0.10792886,2.6233103
12,12.5,0.5,0.028719174,1.6869224e-05,0.023802122,0.00015062293,0.0024200974,0.82382023,26.474905,7.027041e-05,0.29589376,1.1188564e-06,2.3663284e-13,0.025905404,0.12224132,0.91038567,0.032316774,0.056886613,0.1086615,2.6169333
13,13.5,0.5,0.029737506,1.6162081e-05,0.022974283,0.00014633746,0.002361005,0.82848054,26.497057,6.989144e-05,0.29405534,1.0715534e-06,2.2474095e-13,0.025069747,0.122852534,0.9046924,0.03250749,0.058557294,0.109322995,2.6091788
14,14.5,0.5,0.030545989,1.5433447e-05,0.022163196,0.0001424375,0.0023136768,0.83523506,26.520084,6.947815e-05,0.29335475,1.0203343e-06,2.1126739e-13,0.024568694,0.12384989,0.90186113,0.03282,0.059929848,0.109967865,2.6088483
15,15.5,0.5,0.031385023,1.48667505e-05,0.02143026,0.00013898202,0.002276664,0.8429582,26.571424,6.921803e-05,0.2932954,9.70268e-07,1.9494992e-13,0.024187645,0.12545805,0.9002402,0.033192072,0.060946688,0.11053884,2.6108284
16,16.5,0.5,0.032137036,1.4419759e-05,0.020515554,0.00013413075,0.002233829,0.8513504,26.62254,6.892056e-05,0.2935836,8.9444796e-07,1.7162145e-13,0.023748254,0.12681904,0.8990014,0.0336552,0.06172932,0.11099708,2.613633
