lon,lat,co,nh3,no2,bc,pm25,pm10,so2,oc,voc
131.902615,36.62750558,0,0,0,0,0,0,0,0,0
132.2922814,36.53929036,0,0,0,0,0,0,0,0,0
73.59727413,36.85328909,0,0,0,0,0,0,0,0,0
73.98826011,36.94178829,0,0,0,0,0,0,0,0,0
74.38005242,37.02911929,0,0,0,0,0,0,0,0,0
74.77264291,37.11527877,0,0,0,0,0,0,0,0,0
75.16602327,37.20026348,0.315655992,0.000679423,0.094905228,0.002768156,0.00507417,0.005171725,0.001130299,0.000994534,0.052868778
75.56018509,37.28407021,1.869584187,0.003857646,0.62383142,0.021692963,0.039047096,0.040065759,0.008836195,0.007536257,0.306285007
75.95511983,37.36669578,1.835289666,0.003662034,0.658681582,0.025268326,0.045076193,0.046406824,0.010280356,0.008632395,0.295529836
76.35081884,37.44813707,0.010268422,0,0.011376757,0.000796662,0.001364152,0.001426121,0.000323802,0.000251899,0.000816774
76.74727335,37.52839101,0.121273305,0,0.146315455,0.009819803,0.01674386,0.017508837,0.004164365,0.003105633,0.010441351
77.14447447,37.60745457,5.499259048,0.011382107,1.874499069,0.064497438,0.11573946,0.118788348,0.027034981,0.02239447,0.905855571
77.54241318,37.68532476,30.65704844,0.062573654,10.81849662,0.388997106,0.69496186,0.714404581,0.163236313,0.134000045,5.016616221
77.94108038,37.76199863,12.76020773,0.024544265,5.08735538,0.210427911,0.371580754,0.383712975,0.088046176,0.07085201,2.028169008
78.34046681,37.8374733,14.40812936,0.029019505,5.102879457,0.190607499,0.340710285,0.350518717,0.0781302,0.065361667,2.33330784
78.74056313,37.91174592,9.517755233,0.012634558,6.846298022,0.415855333,0.692773032,0.722774703,0.164264949,0.133892808,1.341156367
79.14135988,37.98481368,1.444622588,0.000438698,1.438951704,0.097608979,0.167637183,0.175163783,0.039940884,0.030937745,0.133020987
79.54284746,38.05667383,1.306441962,0,1.421785794,0.09977682,0.171387063,0.179158333,0.040466684,0.031543716,0.102199575
79.9450162,38.12732367,2.209772619,0.000426681,2.034100883,0.147010852,0.254571998,0.265945639,0.056908339,0.04653298,0.176267229
80.34785628,38.19676052,18.76092853,0.037534158,6.417192182,0.243238075,0.437950549,0.45037805,0.095863888,0.083469669,3.006512243
80.75135781,38.26498177,9.96195519,0.016643984,4.507652689,0.229048208,0.403107488,0.418044617,0.089814018,0.075318532,1.453344084
81.15551075,38.33198486,1.905719079,0,1.955894565,0.141961228,0.244305835,0.255343217,0.055668607,0.044875255,0.141232805
81.56030498,38.39776725,0.926346472,0,0.960400672,0.069607766,0.119580818,0.124988959,0.027334685,0.022005621,0.069299228
81.96573026,38.46232647,0.853582073,0,0.888772023,0.064277497,0.110397046,0.115391302,0.02529612,0.020320964,0.064109273
82.37177626,38.52566009,0.985683531,0,1.030064449,0.074311766,0.127630698,0.13340569,0.029317632,0.023493311,0.074279105
82.77843253,38.58776573,0.558230782,0,0.584660844,0.042133665,0.072354772,0.075629165,0.016640587,0.013320438,0.04215336
83.18568852,38.64864105,0.643336122,0.001320301,0.219955115,0.007797604,0.013979332,0.014356979,0.003207655,0.002697524,0.105276535
83.59353359,38.70828375,2.834264357,0.006234611,0.811168698,0.020955324,0.038856675,0.039405703,0.008672348,0.007721227,0.480805725
84.00195699,38.76669161,1.695030382,0.003583123,0.57725958,0.018907957,0.033633449,0.034479711,0.008142999,0.006612232,0.284104314
84.41094786,38.82386241,4.403084338,0.009875759,1.19452049,0.026741533,0.050431597,0.050798658,0.01116464,0.010191072,0.755090698
84.82049527,38.87979402,1.048732347,0.002259479,0.333732653,0.009972344,0.01797278,0.018355398,0.00427446,0.003551861,0.177021862
85.23058818,38.93448432,0.056013489,0,0.081872777,0.005221073,0.008716561,0.009121113,0.002330148,0.001653012,0.005776431
85.64121544,38.98793127,0.056924538,0,0.083204435,0.005305993,0.00885833,0.009269463,0.002368047,0.001679898,0.005870383
86.05236584,39.04013285,0.044781501,0,0.065455402,0.004174132,0.006968699,0.00729213,0.001862901,0.001321546,0.004618128
86.46402805,39.09108711,0.020214466,0,0.02954671,0.001884214,0.003145688,0.003291685,0.000840918,0.000596549,0.002084635
86.87619066,39.14079213,0.009878054,0,0.01413048,0.000908464,0.001518904,0.001589293,0.000402163,0.000287601,0.000998177
87.28884218,39.18924605,0.009808714,0,0.01312315,0.000865864,0.001454339,0.001521419,0.000373496,0.000274051,0.000930687
87.70197103,39.23644705,0.009182056,0,0.012119444,0.000803953,0.001351613,0.001413895,0.00034493,0.000254444,0.000860219
88.11556553,39.28239335,1.556744241,0.003074206,1.185179705,0.072187446,0.109166623,0.114129703,0.025802335,0.023481768,0.289480267
88.52961395,39.32708324,4.406728818,0.009384773,2.09649904,0.101022887,0.158625516,0.164715108,0.03699866,0.03372941,0.781900433
88.94410444,39.37051503,5.475971552,0.012210052,1.584873854,0.041749801,0.07520752,0.07632139,0.016770259,0.015361512,0.940842827
89.3590251,39.4126871,0.913160156,0.002024951,0.26992221,0.007401852,0.013264647,0.013486319,0.002982115,0.002698943,0.156532117
