FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
0,0.5,0.5,0.016719813,2.3001021e-05,0.04198378,0.0035053552,0.0045293015,0.56433207,24.031101,7.094806e-05,0.30452713,3.283704e-06,5.85027e-13,0.04676426,0.083731666,1.0362985,0.023491608,0.017244164,0.09389489,2.662095
1,1.5,0.5,0.017449297,2.7925149e-05,0.043978944,0.0027574792,0.004482741,0.5787355,25.01982,7.163468e-05,0.2978695,3.3361944e-06,6.0966396e-13,0.046119623,0.08555849,1.0528271,0.024503151,0.017516086,0.09512773,2.719234
2,2.5,0.5,0.019545184,4.3288124e-05,0.04954853,0.00034597967,0.0046418784,0.6206002,27.35193,7.979349e-05,0.2849395,3.2141452e-06,5.695168e-13,0.04285699,0.09420163,1.0686021,0.02581178,0.020103188,0.09699648,2.784552
3,3.5,0.5,0.019744746,3.809267e-05,0.046215594,0.00026730323,0.004222769,0.6274478,27.020782,7.815825e-05,0.28256324,3.0310237e-06,5.54221e-13,0.040262736,0.09713911,1.0449598,0.02621305,0.024661524,0.09824474,2.7506237
4,4.5,0.5,0.020163666,3.4977e-05,0.04297328,0.00025163035,0.003920651,0.6475374,26.799297,7.738176e-05,0.2795798,2.7407814e-06,5.1127543e-13,0.037150458,0.09895392,1.0243654,0.026519576,0.029901026,0.099837124,2.7259772
5,5.5,0.5,0.021153102,3.0416359e-05,0.039029356,0.0002307978,0.0035400281,0.6947194,26.52928,7.600245e-05,0.29136184,2.4337837e-06,4.955651e-13,0.03529302,0.10660604,0.99911565,0.027492724,0.034628157,0.10157276,2.6887712
6,6.5,0.5,0.022341896,2.5385158e-05,0.034690533,0.00021179712,0.0031916662,0.7565101,26.40746,7.458496e-05,0.30243427,2.0231384e-06,4.5435574e-13,0.03403723,0.11289591,0.97843266,0.02873807,0.039989404,0.10358758,2.673052
7,7.5,0.5,0.023192702,2.1930704e-05,0.031174948,0.00019214003,0.0029176527,0.78524965,26.283998,7.321092e-05,0.30325967,1.7159581e-06,3.9551972e-13,0.03170643,0.11554846,0.9596766,0.02999315,0.04477552,0.10508779,2.657905
8,8.5,0.5,0.024039155,1.9834459e-05,0.028733065,0.00017705397,0.002731416,0.80270445,26.281006,7.2569674e-05,0.30214587,1.5000858e-06,3.4507385e-13,0.029939823,0.11738987,0.9462192,0.030631797,0.0481375,0.10608048,2.6461794
9,9.5,0.5,0.02514752,1.8722882e-05,0.026917275,0.00016639891,0.0025997998,0.81200576,26.295212,7.193544e-05,0.30074403,1.3529158e-06,3.0445736e-13,0.028557565,0.11954332,0.93449765,0.031247968,0.05086965,0.10682483,2.6368723
