prov,AH,BJ,FJ,GS,GD,GX,GZ,HA,HB,HN,HLJ,HUB,HUN,JL,JS,JX,LN,NMG,NX,QH,SD,SX,SI,SH,SC,TJ,XZ,XJ,YN,ZJ,CQ
SX,0.061079836,0.061105668,0.040415932,0.03630676,0.021830396,0.029159122,0.029643161,0.022648181,0.085024966,0.094997297,0.000170736,0.051154387,0.038478597,0.001007797,0.049832923,0.039310907,0.003779451,0.04045815,0.034528215,0.00175982,0.039477771,0.636425448,0.117797071,0.055297603,0.047738319,0.02709717,0,0,0.016582855,0.054751196,0.036421553
SI,0.012759003,0.006128148,0.010353135,0.115219885,0.006312527,0.013170272,0.021357018,0.007291579,0.0066883,0.023096643,0.000232373,0.029424793,0.017575493,0.000871895,0.008827544,0.012780952,0.001401189,0.022333044,0.067436082,0.008951477,0.006044082,0.030436334,0.509756288,0.008378658,0.064825123,0.003292201,0,1.99E-07,0.018411062,0.010712258,0.030311743
SH,0.015433987,0,0.03155585,0.000255911,0.016813951,0.005943067,0.000742385,0.016464258,6.15449E-07,0.00231724,0,0.008351424,0.004889512,0,0.043188507,0.013455241,0,2.12377E-06,6.52703E-05,0,0.000417279,8.97484E-05,0.000454301,0.391022843,0.000796305,0,0,0,0.000310951,0.05961879,0.000652992
SC,0.000681121,0.000198483,0.004694627,0.036196451,0.005246588,0.00934061,0.045409333,0.007457027,0.000358155,0.001164509,0,0.00246458,0.002969171,0,0.000485098,0.002437886,9.5196E-06,0.000989379,0.011327288,0.00507876,0.00031094,0.001561468,0.008135384,0.000769155,0.489897741,0.000128827,0.002231552,0,0.067292535,0.001830852,0.067374884
TJ,0.024929301,0.095752099,0.011940814,0.002699252,0.008667516,0.0117327,0.007744871,0.01016405,0.039330724,0.023697351,2.46771E-05,0.01604287,0.014950059,0.000333166,0.021500829,0.014141389,0.002316718,0.002326142,0.006082032,1.43917E-05,0.032211325,0.012325806,0.008445157,0.016874433,0.006029614,0.508034807,0,0,0.00216816,0.019367756,0.008597204
XZ,0,0,0,0.001209272,1.0458E-05,0.000225636,0.000291159,0,1.64577E-06,4.27075E-05,0,8.29051E-05,0.000114756,0,0,1.44364E-06,0,7.81E-05,0.000486112,0.002731651,0,0.000104191,0.000190694,0,0.000469416,0,0.993245838,0.00022463,0.000494055,0,0.000217178
XJ,0.006072837,0.009482754,0.005176094,0.014097526,0.003505824,0.004422497,0.003078363,0.005075947,0.00643966,0.008075633,0.002086231,0.006269542,0.004383522,0.002537812,0.005101274,0.004234264,0.003463879,0.014654439,0.015949168,0.006298651,0.005233715,0.009350037,0.010411202,0.005113931,0.004882538,0.00504099,0.000414514,0.999087152,0.002339804,0.00590698,0.003218264
YN,0.000250259,0,0.003645169,0.001529859,0.004316152,0.005439172,0.017881057,0.00855253,8.33673E-05,0.00043915,0,0.000765603,0.00106437,0,0.00015807,0.001402196,0,0.000123384,0.000795159,2.95631E-05,0.000110621,0.000414075,0.001252453,0.000260498,0.006257575,0,0.000503084,5.30736E-07,0.633855312,0.000949495,0.003041945
ZJ,0.011041858,0,0.05696415,4.73306E-06,0.015821101,0.005497415,0.000498567,0.01982257,6.15449E-07,0.000649493,0,0.003947108,0.0032284,0,0.005597646,0.03181866,0,0,0,0,9.03768E-05,0,2.66966E-05,0.018085436,0.000196985,0,0,0,0.000154325,0.340811308,0.000309499
CQ,0.000343933,5.59589E-06,0.002955091,0.007452194,0.003622868,0.007428081,0.08005127,0.005044609,0.000188605,0.000893764,0,0.00236382,0.001998641,0,0.000234519,0.001507597,0,0.000280963,0.002898073,0.000551558,0.000221118,0.00094019,0.00446156,0.000268291,0.110134532,0,0,0,0.052967138,0.00099975,0.504457691
