FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
24,24.5,0.5,0.034192987,1.1234419e-05,0.0129679125,7.822697e-05,0.0014499681,0.8054997,25.365355,6.0551996e-05,0.26070085,4.396816e-07,7.6010473e-14,0.016209971,0.13420598,0.85312164,0.03515506,0.07275862,0.11426083,2.5571766
25,25.5,0.5,0.033898644,1.04509645e-05,0.011948128,7.2369316e-05,0.0013599542,0.793403,25.043766,5.8779613e-05,0.254353,3.9755625e-07,7.045603e-14,0.015302577,0.13278879,0.8452026,0.035107903,0.07363319,0.114212155,2.5392532
26,26.5,0.5,0.033421822,9.380613e-06,0.010868917,6.5756794e-05,0.001267023,0.787729,24.76789,5.7574412e-05,0.24972585,3.4822367e-07,6.319968e-14,0.014463364,0.13151957,0.8371056,0.034889665,0.07401842,0.11411551,2.5187
27,27.5,0.5,0.03335174,8.512389e-06,0.0098994775,5.8818783e-05,0.0011832938,0.78121185,24.527647,5.650904e-05,0.24548228,3.0778673e-07,5.880609e-14,0.0134647135,0.13082369,0.8263078,0.034530155,0.07542523,0.11450939,2.4955447
28,28.5,0.5,0.033527132,8.065723e-06,0.009022862,5.2192503e-05,0.0010992654,0.77332324,24.351086,5.5766628e-05,0.24166499,2.6419931e-07,5.758455e-14,0.012443365,0.1305643,0.8159635,0.034152247,0.077345856,0.11495925,2.4738278
29,29.5,0.5,0.03386385,7.984319e-06,0.008194694,4.6450004e-05,0.0010067173,0.769584,24.351768,5.539936e-05,0.23871538,2.1354091e-07,4.746013e-14,0.01153891,0.13050424,0.80915517,0.034099314,0.078719504,0.11532911,2.4613907
30,30.5,0.5,0.03429491,8.005532e-06,0.007462227,4.244103e-05,0.0009359721,0.7653327,24.3461,5.5175333e-05,0.23589693,1.5951491e-07,3.658317e-14,0.010802138,0.13042961,0.80298114,0.034193914,0.07977239,0.115734,2.4508007
31,31.5,0.5,0.034575716,8.132475e-06,0.0069048707,4.0055867e-05,0.00091229,0.7588653,24.32348,5.513942e-05,0.23259553,1.1459377e-07,2.822796e-14,0.010183092,0.13020499,0.79650736,0.03424975,0.08058752,0.11590084,2.4375691
32,32.5,0.5,0.03454307,8.459916e-06,0.0066311914,3.9194503e-05,0.00091391336,0.747344,24.34988,5.5250406e-05,0.22928384,9.026823e-08,2.27403e-14,0.00990157,0.12919292,0.7913302,0.034177106,0.08072762,0.11579765,2.425504
33,33.5,0.5,0.033677325,8.909104e-06,0.0065805973,3.89992e-05,0.00091863616,0.72797173,24.232298,5.5260858e-05,0.2248106,7.658364e-08,2.0534665e-14,0.009720585,0.12566715,0.7860844,0.033967476,0.08046935,0.11524313,2.409981
34,34.5,0.5,0.03265197,9.243232e-06,0.00653082,3.8558883e-05,0.00091951026,0.7125144,24.133,5.537436e-05,0.22098048,5.8926666e-08,1.5760203e-14,0.0095433425,0.12315283,0.7821117,0.033691235,0.080236964,0.11471197,2.396302
35,35.5,0.5,0.031709973,9.037614e-06,0.006405997,3.7721755e-05,0.0009148258,0.70161533,23.991428,5.5377404e-05,0.21816684,4.2701235e-08,1.18395445e-14,0.009330239,0.12135281,0.7776807,0.033363182,0.080008335,0.114032336,2.3812017
36,36.5,0.5,0.030646564,8.157116e-06,0.0061370507,3.6046516e-05,0.0009005823,0.6936328,23.737165,5.52675e-05,0.21611962,2.934606e-08,9.339041e-15,0.009081821,0.12005588,0.7715157,0.032893185,0.079929456,0.113038346,2.3596091
37,37.5,0.5,0.029353222,7.0545466e-06,0.0057756966,3.2677697e-05,0.0008596879,0.6848072,23.39809,5.488763e-05,0.2139782,1.5784703e-08,6.012897e-15,0.00882799,0.11870453,0.76387244,0.032243393,0.07967679,0.11169532,2.3316524
