sheng,cost,cost2,cost3,a,b,species
JX,4.278285731,8.216732262,12.15517879,3.938446531,4.278285731,SO2
JX,12.74245241,24.47272725,36.20300209,11.73027484,12.74245241,VOC
LN,4.477666537,8.59965636,12.72164618,4.121989823,4.477666537,NH3
LN,7.97437451,15.31531656,22.65625861,7.34094205,7.97437451,NOx
LN,4.47121764,8.587270825,12.70332401,4.116053185,4.47121764,PPM2.5
LN,6.161506418,11.83358283,17.50565924,5.672076412,6.161506418,SO2
LN,10.44975247,20.06944456,29.68913665,9.61969209,10.44975247,VOC
NMG,3.030064635,5.819440638,8.608816641,2.789376003,3.030064635,NH3
NMG,6.344085063,12.18423726,18.02438946,5.840152197,6.344085063,NOx
NMG,5.037349675,9.674565047,14.31178042,4.637215372,5.037349675,PPM2.5
NMG,6.595906685,12.66787743,18.73984818,6.071970745,6.595906685,SO2
NMG,9.826006962,18.87149982,27.91699268,9.045492858,9.826006962,VOC
NX,2.491918768,4.785895713,7.079872658,2.293976945,2.491918768,NH3
NX,7.577147839,14.55241632,21.5276848,6.975268481,7.577147839,NOx
NX,3.900195163,7.490584183,11.0809732,3.59038902,3.900195163,PPM2.5
NX,5.714705646,10.97547223,16.23623881,5.260766584,5.714705646,SO2
NX,10.97772287,21.08344681,31.18917075,10.10572394,10.97772287,VOC
QH,3.78599447,7.271254158,10.75651385,3.485259688,3.78599447,NH3
QH,8.549037566,16.41899518,24.28895279,7.869957614,8.549037566,NOx
QH,5.69304114,10.93386411,16.17468708,5.24082297,5.69304114,PPM2.5
QH,5.321204787,10.21972767,15.11825055,4.898522883,5.321204787,SO2
QH,12.95550207,24.88190329,36.80830451,11.92640122,12.95550207,VOC
SC,4.692619598,9.012488009,13.33235642,4.319868411,4.692619598,NH3
SC,7.965415793,15.29811075,22.63080571,7.332694957,7.965415793,NOx
SC,6.097469292,11.71059527,17.32372125,5.613125978,6.097469292,PPM2.5
SC,5.142247374,9.876028055,14.60980874,4.733780681,5.142247374,SO2
SC,14.24448799,27.35748649,40.47048499,13.1129985,14.24448799,VOC
SD,4.024127569,7.728604611,11.43308165,3.704477042,4.024127569,NH3
SD,7.877385831,15.12904335,22.38070087,7.251657519,7.877385831,NOx
SD,4.149749004,7.96986893,11.78998886,3.820119926,4.149749004,PPM2.5
SD,5.287837144,10.15564289,15.02344864,4.867805746,5.287837144,SO2
