FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
0,0.5,0.5,0.016719313,2.3000724e-05,0.04198382,0.0035053594,0.004529338,0.56431955,24.030642,7.094768e-05,0.30452445,3.2837095e-06,5.850299e-13,0.04676415,0.08373322,1.0362798,0.023491502,0.01723936,0.09381374,2.6618958
1,1.5,0.5,0.01744871,2.7924978e-05,0.04397901,0.0027574843,0.004482777,0.5787233,25.01942,7.163453e-05,0.29786783,3.3362019e-06,6.0966743e-13,0.046119455,0.08556422,1.0528076,0.024503063,0.017506616,0.0950494,2.7190378
2,2.5,0.5,0.019544318,4.328754e-05,0.049548663,0.00034598052,0.0046419105,0.62058485,27.35153,7.979328e-05,0.28493828,3.2141572e-06,5.695219e-13,0.042856745,0.0942084,1.0685787,0.02581193,0.02009212,0.096887596,2.7842898
3,3.5,0.5,0.01974345,3.809201e-05,0.04621576,0.0002673045,0.004222817,0.6274238,27.02009,7.815787e-05,0.28256068,3.0310416e-06,5.542287e-13,0.040262327,0.09715347,1.0449278,0.026212988,0.024646841,0.09807913,2.7502286
4,4.5,0.5,0.020161461,3.4976434e-05,0.04297349,0.00025163224,0.003920735,0.64750624,26.798347,7.738084e-05,0.27957603,2.7407982e-06,5.1128405e-13,0.037149813,0.09896721,1.0243242,0.02651928,0.029890116,0.099611565,2.725451
5,5.5,0.5,0.021149943,3.0415764e-05,0.039029498,0.00023079973,0.0035401222,0.694678,26.528004,7.600075e-05,0.29135522,2.433799e-06,4.955752e-13,0.035292096,0.10663397,0.9990646,0.02749236,0.03461008,0.10129203,2.6881082
6,6.5,0.5,0.0223379,2.5384692e-05,0.034690678,0.00021179854,0.0031917556,0.75645983,26.405952,7.458234e-05,0.30242565,2.0231528e-06,4.543649e-13,0.03403602,0.11292803,0.97837514,0.028737495,0.0399711,0.10325143,2.6722624
7,7.5,0.5,0.023187608,2.1930262e-05,0.031175075,0.00019214087,0.002917717,0.78519154,26.282228,7.320793e-05,0.30324945,1.7159715e-06,3.955288e-13,0.031704914,0.11558412,0.95961213,0.029992335,0.04475474,0.10470862,2.6570172
8,8.5,0.5,0.024033615,1.9834044e-05,0.028733196,0.00017705507,0.0027314634,0.80264086,26.27906,7.256664e-05,0.30213493,1.5000963e-06,3.4508163e-13,0.029938057,0.11743074,0.9461502,0.03063087,0.048115633,0.10566872,2.645213
9,9.5,0.5,0.02514108,1.8722523e-05,0.026917381,0.00016639984,0.002599858,0.81193626,26.293137,7.193232e-05,0.30073196,1.3529256e-06,3.044648e-13,0.028555626,0.11958872,0.93442494,0.031246925,0.05084646,0.1063897,2.6358528
10,10.5,0.5,0.02630792,1.797514e-05,0.02557332,0.00015879596,0.0025121286,0.8174073,26.35397,7.1266135e-05,0.29895347,1.2466604e-06,2.7238539e-13,0.027568629,0.12080767,0.92488056,0.031734154,0.053111997,0.10704332,2.6298773
11,11.5,0.5,0.027586786,1.7257165e-05,0.024511613,0.00015366856,0.0024593095,0.8214571,26.42602,7.0638926e-05,0.29764488,1.1671675e-06,2.502726e-13,0.026709097,0.12188871,0.91654503,0.03213448,0.05504858,0.10766933,2.6226628
12,12.5,0.5,0.028716613,1.6869433e-05,0.02380235,0.0001506248,0.0024201546,0.8238096,26.474115,7.0270056e-05,0.29589188,1.118857e-06,2.36633e-13,0.02590283,0.12225748,0.91031045,0.032316186,0.05686041,0.10839442,2.6162646
13,13.5,0.5,0.029734604,1.6162307e-05,0.02297451,0.00014633943,0.002361052,0.8284706,26.49626,6.989162e-05,0.2940539,1.0715542e-06,2.2474108e-13,0.025067015,0.12287034,0.90461344,0.032506872,0.058529906,0.109048195,2.6084912
14,14.5,0.5,0.030542817,1.543373e-05,0.022163462,0.00014243918,0.0023137454,0.83522254,26.519255,6.947757e-05,0.29335248,1.0203354e-06,2.1126795e-13,0.024565753,0.12387014,0.9017776,0.0328193,0.059900995,0.10968702,2.6081395
15,15.5,0.5,0.031381384,1.4867063e-05,0.021430518,0.00013898416,0.002276727,0.8429455,26.570578,6.9217334e-05,0.2932932,9.702683e-07,1.9495004e-13,0.024184646,0.12548104,0.90015477,0.033191428,0.060917012,0.11025216,2.6101062
16,16.5,0.5,0.032132976,1.4420117e-05,0.020515796,0.00013413267,0.0022338904,0.85133797,26.621677,6.892024e-05,0.2935817,8.9444745e-07,1.7162144e-13,0.0237451,0.1268432,0.8989153,0.03365454,0.061699256,0.11070168,2.6128898
17,17.5,0.5,0.032754816,1.3957156e-05,0.019596182,0.00012902611,0.0021909398,0.8574893,26.627022,6.856573e-05,0.2929964,8.2738626e-07,1.5612784e-13,0.023313837,0.1280286,0.89741296,0.03415881,0.062309343,0.111017354,2.615661
18,18.5,0.5,0.033306815,1.3895316e-05,0.018824134,0.00012373566,0.0021171607,0.8587153,26.606247,6.809301e-05,0.29133713,7.719224e-07,1.4157263e-13,0.022931295,0.1285909,0.89446586,0.034584284,0.06344661,0.11143339,2.6161416
19,19.5,0.5,0.033838782,1.4202317e-05,0.018441223,0.00011996209,0.0020415543,0.8515258,26.606234,6.755161e-05,0.28900614,7.4503316e-07,1.3364068e-13,0.02246578,0.12954418,0.89088696,0.034719307,0.06465311,0.11188515,2.6134171
