FID,X,Y,HNO3,N2O5,NO2,HONO,NO,H2O2,O3,OH,FORM,ISOP,TERP,SO2,NH3,PM25_SO4,PM25_NO3,PM25_NH4,PM25_OC,PM25_TOT
0,0.5,0.5,0.016719578,2.300088e-05,0.04198383,0.003505361,0.0045293313,0.5643235,24.030628,7.094772e-05,0.30452415,3.2837072e-06,5.850293e-13,0.046764225,0.08373374,1.0362914,0.023491576,0.017243639,0.09386442,2.6620188
1,1.5,0.5,0.017448973,2.7925025e-05,0.043979034,0.0027574836,0.0044827764,0.5787269,25.019337,7.16341e-05,0.29786688,3.3362005e-06,6.09667e-13,0.046119556,0.08556451,1.0528196,0.024503157,0.017511701,0.09509569,2.71915
2,2.5,0.5,0.019544622,4.3287742e-05,0.04954864,0.00034598084,0.0046419105,0.62058884,27.351377,7.979296e-05,0.2849368,3.214154e-06,5.69521e-13,0.042856924,0.09420904,1.0685937,0.025811985,0.020097729,0.09695156,2.7844396
3,3.5,0.5,0.01974379,3.80922e-05,0.046215747,0.00026730445,0.0042228154,0.6274318,27.019989,7.815722e-05,0.28255942,3.0310377e-06,5.542269e-13,0.040262632,0.09715341,1.0449476,0.026213033,0.02465567,0.09818069,2.7504616
4,4.5,0.5,0.020162012,3.497658e-05,0.042973474,0.0002516315,0.0039207335,0.6475165,26.798294,7.737986e-05,0.27957457,2.7407943e-06,5.112823e-13,0.0371503,0.09896871,1.0243491,0.026519513,0.029898193,0.09975185,2.725769
5,5.5,0.5,0.02115065,3.0415937e-05,0.039029494,0.00023079934,0.0035401008,0.69469255,26.528006,7.60002e-05,0.29135442,2.4337967e-06,4.955729e-13,0.03529283,0.106632866,0.9990979,0.02749258,0.034621615,0.10146729,2.6885104
6,6.5,0.5,0.022338843,2.5384834e-05,0.0346907,0.00021179863,0.003191737,0.7564776,26.405981,7.4582415e-05,0.3024254,2.023149e-06,4.5436227e-13,0.034037,0.11292631,0.9784118,0.028737782,0.039984267,0.10346275,2.672747
7,7.5,0.5,0.023188693,2.1930402e-05,0.031175103,0.00019214077,0.002917708,0.7852116,26.282331,7.3207986e-05,0.3032492,1.7159683e-06,3.9552655e-13,0.031706166,0.11558152,0.9596527,0.029992716,0.044769604,0.10494717,2.6575608
8,8.5,0.5,0.024034778,1.9834182e-05,0.028733203,0.0001770551,0.0027314594,0.80266255,26.279182,7.256668e-05,0.30213484,1.5000935e-06,3.450793e-13,0.029939549,0.117428884,0.9461937,0.030631293,0.04813135,0.10592849,2.6458077
9,9.5,0.5,0.025142469,1.8722652e-05,0.026917402,0.0001664001,0.0025998484,0.81195986,26.293304,7.19325e-05,0.30073202,1.3529236e-06,3.0446254e-13,0.028557263,0.11958598,0.9344717,0.03124738,0.050863106,0.10666398,2.636478
10,10.5,0.5,0.026309423,1.7975253e-05,0.025573354,0.000158796,0.0025121274,0.81743133,26.35412,7.126589e-05,0.29895324,1.2466584e-06,2.723832e-13,0.027570434,0.12080498,0.9249289,0.031734664,0.053129487,0.107328095,2.630526
11,11.5,0.5,0.02758838,1.725727e-05,0.024511656,0.00015366872,0.002459311,0.82148165,26.426172,7.063858e-05,0.29764456,1.1671663e-06,2.5027072e-13,0.026711073,0.12188513,0.91659546,0.032135025,0.055066995,0.10796283,2.6233342
12,12.5,0.5,0.028718153,1.6869517e-05,0.023802405,0.00015062488,0.00242015,0.8238343,26.474245,7.026987e-05,0.29589128,1.1188557e-06,2.366315e-13,0.025904981,0.122254215,0.9103628,0.032316726,0.056879696,0.10869504,2.6169524
13,13.5,0.5,0.029736469,1.6162388e-05,0.022974571,0.0001463392,0.002361056,0.82849544,26.496382,6.989096e-05,0.29405302,1.0715536e-06,2.247404e-13,0.025069311,0.122866824,0.9046687,0.03250744,0.05855014,0.10935632,2.609197
14,14.5,0.5,0.030544885,1.5433803e-05,0.022163523,0.0001424396,0.002313739,0.835249,26.519379,6.947786e-05,0.29335207,1.0203329e-06,2.1126663e-13,0.024568232,0.12386563,0.9018358,0.032819927,0.059922278,0.11000026,2.6088598
15,15.5,0.5,0.031383887,1.4867164e-05,0.021430582,0.00013898448,0.0022767275,0.8429728,26.570713,6.921726e-05,0.2932929,9.702661e-07,1.9494908e-13,0.024187168,0.12547515,0.9002149,0.033192016,0.06093891,0.11057203,2.610841
16,16.5,0.5,0.03213593,1.4420249e-05,0.020515893,0.00013413311,0.0022338892,0.8513659,26.621828,6.892003e-05,0.29358113,8.94447e-07,1.7162029e-13,0.02374774,0.12683687,0.89897573,0.03365514,0.061721426,0.111032754,2.61365
17,17.5,0.5,0.032758098,1.3957294e-05,0.019596288,0.00012902674,0.0021909438,0.8575188,26.627249,6.856528e-05,0.29299593,8.273857e-07,1.5612692e-13,0.023316579,0.12802263,0.897473,0.034159478,0.06233125,0.11136391,2.6164513
